2.45797552085e-08,0.44
-4.69570061408e-05,0.829
-3.01034723992e-05,0.634
3.17717476823e-06,0.402
-7.02093986819e-06,0.468
2.08482170817e-05,0.321
1.11882955054e-05,0.363
-2.91759554573e-05,0.684
-1.32673875502e-05,0.58
1.63918307596e-05,0.333
1.98763260006e-05,0.302
4.30716833172e-05,0.189
-5.33536636541e-05,0.806
2.67085672608e-05,0.25
-3.0529397415e-05,0.746
7.57668739984e-06,0.396
-5.75047536984e-06,0.54
-1.11474963623e-05,0.552
2.06144230361e-05,0.299
2.36765285715e-05,0.293
-3.02034979855e-05,0.585
-1.2432801543e-05,0.52
-1.97839357222e-05,0.652
4.19941377499e-06,0.423
-9.24526996209e-06,0.505
-2.57722366124e-05,0.681
-2.90128357175e-05,0.717
-7.36732851012e-07,0.434
4.80734195695e-06,0.401
4.64771096667e-05,0.188
4.42671010033e-05,0.198
8.61227093913e-06,0.378
-1.09211639058e-06,0.474
-1.65368663087e-05,0.57
-7.28475270384e-05,0.939
-1.66421683769e-05,0.568
-1.32854238488e-05,0.586
1.48343020441e-05,0.34
4.89059018643e-05,0.141
-1.85953318522e-05,0.646
-3.0909052452e-06,0.484
7.28186652157e-06,0.399
8.43947268094e-07,0.439
-1.44910141893e-06,0.474
-1.12552310722e-05,0.517
-8.81956760962e-06,0.488
1.114161363e-05,0.365
-2.86269644704e-05,0.73
1.80316858551e-05,0.317
-5.33944785126e-06,0.517
6.12196579439e-05,0.145
1.04978052146e-05,0.38
4.98178599821e-06,0.424
7.10155860856e-05,0.111
3.04511577611e-06,0.428
4.37255943123e-05,0.19
-3.77771170804e-05,0.779
-3.3437540713e-05,0.689
-3.30772607091e-05,0.695
5.46568523528e-05,0.106
2.82205343216e-05,0.23
-3.09472403114e-05,0.755
-1.55257341997e-05,0.591
2.13843408435e-05,0.311
4.32358077482e-06,0.416
-1.69046008113e-05,0.634
1.66162758676e-05,0.35
5.52997899005e-06,0.407
-1.00138364857e-05,0.512
-3.5956794386e-05,0.688
-4.53028862822e-06,0.507
1.22094759102e-05,0.391
-2.77061425835e-05,0.685
1.36725477016e-05,0.354
4.52687278276e-05,0.222
-3.79285621434e-05,0.706
9.88623547381e-05,0.108
8.80148586705e-05,0.066
-1.46263763018e-05,0.586
1.63603458066e-06,0.432
4.66636284476e-05,0.162
-1.77569620855e-05,0.632
-1.40789130049e-05,0.561
-1.15713450254e-05,0.544
3.79419065175e-05,0.191
-3.58926160751e-05,0.741
0.000126610520917,0.009
-1.20785801013e-05,0.55
-4.03976249807e-05,0.814
