SDCIT,200,48,0.2,1,0.206
KCIT,200,48,0.2,1,0.226
SDCIT,200,48,0.5,1,0.086
KCIT,200,48,0.5,1,0.1326
SDCIT,200,48,1,1,0.062
KCIT,200,48,1,1,0.0912
SDCIT,200,48,2,1,0.066
KCIT,200,48,2,1,0.1374
SDCIT,200,48,5,1,0.294
KCIT,200,48,5,1,0.3864
SDCIT,200,48,10,1,0.48
KCIT,200,48,10,1,0.4192
SDCIT,200,48,20,1,0.19
KCIT,200,48,20,1,0.322
SDCIT,200,16,0.05,1,0.744
KCIT,200,16,0.05,1,0.17
SDCIT,200,16,0.1,1,0.682
KCIT,200,16,0.1,1,0.1586
SDCIT,200,16,0.2,1,0.652
KCIT,200,16,0.2,1,0.1786
SDCIT,200,16,0.5,1,0.54
KCIT,200,16,0.5,1,0.1198
SDCIT,200,16,1,1,0.452
KCIT,200,16,1,1,0.0736
SDCIT,200,16,2,1,0.346
KCIT,200,16,2,1,0.123
SDCIT,200,16,5,1,0.17
KCIT,200,16,5,1,0.1668
SDCIT,200,16,10,1,0.088
KCIT,200,16,10,1,0.2088
SDCIT,200,16,20,1,0.082
KCIT,200,16,20,1,0.252
SDCIT,200,3,0.05,1,0.624
KCIT,200,3,0.05,1,0.7248
SDCIT,200,3,0.1,1,0.626
KCIT,200,3,0.1,1,0.7076
SDCIT,200,3,0.2,1,0.624
KCIT,200,3,0.2,1,0.7312
SDCIT,200,3,0.5,1,0.648
KCIT,200,3,0.5,1,0.5756
SDCIT,200,3,1,1,0.652
KCIT,200,3,1,1,0.5012
SDCIT,200,3,2,1,0.572
KCIT,200,3,2,1,0.3046
SDCIT,200,3,5,1,0.422
KCIT,200,3,5,1,0.1652
SDCIT,200,3,10,1,0.298
KCIT,200,3,10,1,0.2534
SDCIT,200,3,20,1,0.24
KCIT,200,3,20,1,0.3034
SDCIT,400,291,0.05,1,0.84
KCIT,400,291,0.05,1,0.6392
SDCIT,400,291,0.1,1,0.808
KCIT,400,291,0.1,1,0.6158
